CODIGO_REGION|NOMBRE_REGION
0212201000A|CIRCUITO 1000A
02122001001|CIRCUITO 1001
0212201001A|CIRCUITO 1001A
02124001007|CIRCUITO 1007
02124001008|CIRCUITO 1008
02124001009|CIRCUITO 1009
0501600100A|CIRCUITO 100A
23009000101|CIRCUITO 101
07015000101|CIRCUITO 101
04007000101|CIRCUITO 101
02008000101|CIRCUITO 101
06014000101|CIRCUITO 101
03012000101|CIRCUITO 101
01009000101|CIRCUITO 101
05017000101|CIRCUITO 101
02124001010|CIRCUITO 1010
02124001011|CIRCUITO 1011
0212401011A|CIRCUITO 1011A
02125001013|CIRCUITO 1013
0212501013A|CIRCUITO 1013A
02125001014|CIRCUITO 1014
02125001015|CIRCUITO 1015
02125001016|CIRCUITO 1016
02125001017|CIRCUITO 1017
02125001018|CIRCUITO 1018
02125001019|CIRCUITO 1019
05017000102|CIRCUITO 102
23010000102|CIRCUITO 102
07015000102|CIRCUITO 102
02008000102|CIRCUITO 102
06015000102|CIRCUITO 102
03012000102|CIRCUITO 102
04008000102|CIRCUITO 102
01010000102|CIRCUITO 102
02125001020|CIRCUITO 1020
02125001021|CIRCUITO 1021
07015000103|CIRCUITO 103
23010000103|CIRCUITO 103
03012000103|CIRCUITO 103
04008000103|CIRCUITO 103
01010000103|CIRCUITO 103
06015000103|CIRCUITO 103
02008000103|CIRCUITO 103
05017000103|CIRCUITO 103
0200800103A|CIRCUITO 103A
05017000104|CIRCUITO 104
06015000104|CIRCUITO 104
03012000104|CIRCUITO 104
02008000104|CIRCUITO 104
01010000104|CIRCUITO 104
07015000104|CIRCUITO 104
23010000104|CIRCUITO 104
02009000105|CIRCUITO 105
07015000105|CIRCUITO 105
23010000105|CIRCUITO 105
06015000105|CIRCUITO 105
05017000105|CIRCUITO 105
03012000105|CIRCUITO 105
04008000105|CIRCUITO 105
01010000105|CIRCUITO 105
0501700105A|CIRCUITO 105A
02009000106|CIRCUITO 106
05017000106|CIRCUITO 106
04008000106|CIRCUITO 106
23010000106|CIRCUITO 106
01010000106|CIRCUITO 106
07015000106|CIRCUITO 106
06015000106|CIRCUITO 106
03012000106|CIRCUITO 106
07015000107|CIRCUITO 107
05017000107|CIRCUITO 107
04008000107|CIRCUITO 107
06016000107|CIRCUITO 107
01010000107|CIRCUITO 107
02009000107|CIRCUITO 107
03012000107|CIRCUITO 107
23010000107|CIRCUITO 107
02009000108|CIRCUITO 108
01010000108|CIRCUITO 108
05018000108|CIRCUITO 108
06016000108|CIRCUITO 108
23010000108|CIRCUITO 108
03012000108|CIRCUITO 108
04008000108|CIRCUITO 108
07015000108|CIRCUITO 108
23010000109|CIRCUITO 109
01010000109|CIRCUITO 109
03012000109|CIRCUITO 109
07015000109|CIRCUITO 109
06016000109|CIRCUITO 109
04008000109|CIRCUITO 109
02009000109|CIRCUITO 109
05018000109|CIRCUITO 109
2300100010A|CIRCUITO 10A
0400100010A|CIRCUITO 10A
0400100010B|CIRCUITO 10B
0400100010C|CIRCUITO 10C
0400100010D|CIRCUITO 10D
0400100010E|CIRCUITO 10E
0400100010F|CIRCUITO 10F
0400100010G|CIRCUITO 10G
0400100010H|CIRCUITO 10H
0400100010I|CIRCUITO 10I
0400100010J|CIRCUITO 10J
0400100010K|CIRCUITO 10K
0400100010L|CIRCUITO 10L
0400100010M|CIRCUITO 10M
07001000011|CIRCUITO 11
09001000011|CIRCUITO 11
04001000011|CIRCUITO 11
01001000011|CIRCUITO 11
23001000011|CIRCUITO 11
02002000011|CIRCUITO 11
03002000011|CIRCUITO 11
05001000011|CIRCUITO 11
24002000011|CIRCUITO 11
0600100011A|CIRCUITO 11"A"
0600100011B|CIRCUITO 11"B"
04008000110|CIRCUITO 110
05018000110|CIRCUITO 110
02009000110|CIRCUITO 110
06017000110|CIRCUITO 110
03013000110|CIRCUITO 110
01010000110|CIRCUITO 110
23010000110|CIRCUITO 110
2301000110A|CIRCUITO 110A
0400800110A|CIRCUITO 110A
02009000111|CIRCUITO 111
04008000111|CIRCUITO 111
23010000111|CIRCUITO 111
01010000111|CIRCUITO 111
03013000111|CIRCUITO 111
05018000111|CIRCUITO 111
06017000111|CIRCUITO 111
06017000112|CIRCUITO 112
03013000112|CIRCUITO 112
23010000112|CIRCUITO 112
01010000112|CIRCUITO 112
04008000112|CIRCUITO 112
05019000112|CIRCUITO 112
01011000113|CIRCUITO 113
03013000113|CIRCUITO 113
05019000113|CIRCUITO 113
04008000113|CIRCUITO 113
02009000113|CIRCUITO 113
23010000113|CIRCUITO 113
06017000113|CIRCUITO 113
0301300113A|CIRCUITO 113A
02009000114|CIRCUITO 114
01011000114|CIRCUITO 114
03013000114|CIRCUITO 114
06017000114|CIRCUITO 114
04008000114|CIRCUITO 114
05019000114|CIRCUITO 114
23010000114|CIRCUITO 114
06018000115|CIRCUITO 115
05019000115|CIRCUITO 115
01011000115|CIRCUITO 115
23010000115|CIRCUITO 115
03013000115|CIRCUITO 115
23010000116|CIRCUITO 116
06018000116|CIRCUITO 116
05019000116|CIRCUITO 116
01011000116|CIRCUITO 116
04008000116|CIRCUITO 116
03013000116|CIRCUITO 116
0301300116A|CIRCUITO 116A
0400800116A|CIRCUITO 116A
0301300116B|CIRCUITO 116B
02010000117|CIRCUITO 117
03013000117|CIRCUITO 117
06019000117|CIRCUITO 117
04008000117|CIRCUITO 117
23010000117|CIRCUITO 117
05019000117|CIRCUITO 117
01011000117|CIRCUITO 117
0601900117A|CIRCUITO 117"A"
0201000117A|CIRCUITO 117A
0501900117A|CIRCUITO 117A
0201000117B|CIRCUITO 117B
23010000118|CIRCUITO 118
06019000118|CIRCUITO 118
05019000118|CIRCUITO 118
03013000118|CIRCUITO 118
04008000118|CIRCUITO 118
02010000118|CIRCUITO 118
01011000118|CIRCUITO 118
0601900118A|CIRCUITO 118"A"
05019000119|CIRCUITO 119
06020000119|CIRCUITO 119
03013000119|CIRCUITO 119
04009000119|CIRCUITO 119
01011000119|CIRCUITO 119
23010000119|CIRCUITO 119
0400100011A|CIRCUITO 11A
2300100011A|CIRCUITO 11A
0500100011A|CIRCUITO 11A
0400100011B|CIRCUITO 11B
0400100011C|CIRCUITO 11C
0400100011D|CIRCUITO 11D
0400100011E|CIRCUITO 11E
0400100011F|CIRCUITO 11F
0400100011G|CIRCUITO 11G
0400100011H|CIRCUITO 11H
0400100011I|CIRCUITO 11I
0400100011J|CIRCUITO 11J
0400100011K|CIRCUITO 11K
0400100011L|CIRCUITO 11L
0400100011M|CIRCUITO 11M
06001000012|CIRCUITO 12
05002000012|CIRCUITO 12
02002000012|CIRCUITO 12
07001000012|CIRCUITO 12
01001000012|CIRCUITO 12
03002000012|CIRCUITO 12
04001000012|CIRCUITO 12
24002000012|CIRCUITO 12
23001000012|CIRCUITO 12
1301400100C|CIRCUITO 12 DE OCTUBRE
04009000120|CIRCUITO 120
23010000120|CIRCUITO 120
01011000120|CIRCUITO 120
03013000120|CIRCUITO 120
06020000120|CIRCUITO 120
02010000120|CIRCUITO 120
05019000120|CIRCUITO 120
01011000121|CIRCUITO 121
03013000121|CIRCUITO 121
04009000121|CIRCUITO 121
02018000121|CIRCUITO 121
06021000121|CIRCUITO 121
05020000121|CIRCUITO 121
23010000121|CIRCUITO 121
04009000122|CIRCUITO 122
06021000122|CIRCUITO 122
23011000122|CIRCUITO 122
03013000122|CIRCUITO 122
05020000122|CIRCUITO 122
02018000122|CIRCUITO 122
01011000122|CIRCUITO 122
05020000123|CIRCUITO 123
03013000123|CIRCUITO 123
06021000123|CIRCUITO 123
23011000123|CIRCUITO 123
04009000123|CIRCUITO 123
01011000123|CIRCUITO 123
05020000124|CIRCUITO 124
06021000124|CIRCUITO 124
23011000124|CIRCUITO 124
04009000124|CIRCUITO 124
01012000124|CIRCUITO 124
03013000124|CIRCUITO 124
04009000125|CIRCUITO 125
06021000125|CIRCUITO 125
02013000125|CIRCUITO 125
03013000125|CIRCUITO 125
23011000125|CIRCUITO 125
01012000125|CIRCUITO 125
05020000125|CIRCUITO 125
0201300125A|CIRCUITO 125A
05021000126|CIRCUITO 126
23011000126|CIRCUITO 126
03014000126|CIRCUITO 126
02013000126|CIRCUITO 126
04009000126|CIRCUITO 126
01012000126|CIRCUITO 126
06022000126|CIRCUITO 126
2301100126A|CIRCUITO 126A
05021000127|CIRCUITO 127
01012000127|CIRCUITO 127
02013000127|CIRCUITO 127
04009000127|CIRCUITO 127
06022000127|CIRCUITO 127
23011000127|CIRCUITO 127
03014000127|CIRCUITO 127
05021000128|CIRCUITO 128
04009000128|CIRCUITO 128
23011000128|CIRCUITO 128
03015000128|CIRCUITO 128
01012000128|CIRCUITO 128
02013000128|CIRCUITO 128
06023000128|CIRCUITO 128
0502100128A|CIRCUITO 128A
0400900128A|CIRCUITO 128A
05021000129|CIRCUITO 129
04009000129|CIRCUITO 129
06023000129|CIRCUITO 129
01012000129|CIRCUITO 129
02013000129|CIRCUITO 129
03015000129|CIRCUITO 129
23011000129|CIRCUITO 129
0500200012A|CIRCUITO 12A
0400100012A|CIRCUITO 12A
2300100012A|CIRCUITO 12A
0400100012B|CIRCUITO 12B
0500200012B|CIRCUITO 12B
0400100012C|CIRCUITO 12C
0500200012C|CIRCUITO 12C
0400100012D|CIRCUITO 12D
0400100012E|CIRCUITO 12E
0400100012F|CIRCUITO 12F
0400100012G|CIRCUITO 12G
0400100012H|CIRCUITO 12H
0400100012I|CIRCUITO 12I
02002000013|CIRCUITO 13
07001000013|CIRCUITO 13
04001000013|CIRCUITO 13
24002000013|CIRCUITO 13
23001000013|CIRCUITO 13
03002000013|CIRCUITO 13
05002000013|CIRCUITO 13
01001000013|CIRCUITO 13
0600100013A|CIRCUITO 13"A"
